disease,symptoms,context
fabry disease,"Burning or tingling pain in the hands and feet, small, dark red spots on the skin (angiokeratomas), sweating abnormalities, gastrointestinal issues","fabry disease: Burning or tingling pain in the hands and feet, small, dark red spots on the skin (angiokeratomas), sweating abnormalities, gastrointestinal issues"
facial abscess,"Pain, swelling, redness, warmth, and tenderness in the affected area, pus drainage","facial abscess: Pain, swelling, redness, warmth, and tenderness in the affected area, pus drainage"
facial blisters,"Fluid-filled lesions on the skin, redness, itching, pain, may burst and crust over","facial blisters: Fluid-filled lesions on the skin, redness, itching, pain, may burst and crust over"
facial bruises,"Discoloration of the skin due to bleeding under the skin, tenderness or pain when touched, swelling","facial bruises: Discoloration of the skin due to bleeding under the skin, tenderness or pain when touched, swelling"
facial burns,"Redness, blistering, pain, swelling, peeling skin, scarring","facial burns: Redness, blistering, pain, swelling, peeling skin, scarring"
facial cancer,"Lump or sore that doesn't heal, changes in skin color or texture, persistent pain, facial numbness or weakness","facial cancer: Lump or sore that doesn't heal, changes in skin color or texture, persistent pain, facial numbness or weakness"
facial cellulitis,"Redness, swelling, warmth, and tenderness of the skin, fever, headache, malaise","facial cellulitis: Redness, swelling, warmth, and tenderness of the skin, fever, headache, malaise"
facial cuts,"Open wounds on the skin caused by a sharp object, pain, bleeding, possible infection","facial cuts: Open wounds on the skin caused by a sharp object, pain, bleeding, possible infection"
facial cysts,"Small, round or dome-shaped lumps beneath the skin, may be painless or tender, may become inflamed or infected","facial cysts: Small, round or dome-shaped lumps beneath the skin, may be painless or tender, may become inflamed or infected"
facial deformity,"Abnormal or asymmetrical facial features, may include cleft lip or palate, facial asymmetry, or misaligned jaw","facial deformity: Abnormal or asymmetrical facial features, may include cleft lip or palate, facial asymmetry, or misaligned jaw"
facial discoloration,"Changes in skin color on the face, such as redness, pigmentation, or patches of lighter or darker skin","facial discoloration: Changes in skin color on the face, such as redness, pigmentation, or patches of lighter or darker skin"
facial dislocation,"Misalignment or displacement of facial bones or joints, pain, swelling, difficulty moving the jaw","facial dislocation: Misalignment or displacement of facial bones or joints, pain, swelling, difficulty moving the jaw"
facial droop,"Sagging or asymmetry of one side of the face, difficulty smiling, blinking, or speaking, may be a sign of stroke","facial droop: Sagging or asymmetry of one side of the face, difficulty smiling, blinking, or speaking, may be a sign of stroke"
facial edema,"Swelling of the face, often around the eyes, cheeks, or lips, may be accompanied by pain or discomfort","facial edema: Swelling of the face, often around the eyes, cheeks, or lips, may be accompanied by pain or discomfort"
facial erythema,"Redness or flushing of the face, may be temporary or chronic, may occur due to various causes","facial erythema: Redness or flushing of the face, may be temporary or chronic, may occur due to various causes"
facial flushing,"Sudden reddening of the face, neck, or upper chest, often accompanied by a sensation of warmth or heat","facial flushing: Sudden reddening of the face, neck, or upper chest, often accompanied by a sensation of warmth or heat"
facial fractures,"Pain, swelling, bruising, deformity, difficulty moving the jaw or facial bones, bleeding from the nose or mouth","facial fractures: Pain, swelling, bruising, deformity, difficulty moving the jaw or facial bones, bleeding from the nose or mouth"
facial infection,"Redness, swelling, warmth, pain, discharge, fever, may affect skin, sinuses, or deeper tissues","facial infection: Redness, swelling, warmth, pain, discharge, fever, may affect skin, sinuses, or deeper tissues"
facial itching,"Pruritus (itching) of the skin on the face, may be accompanied by redness, rash, or irritation","facial itching: Pruritus (itching) of the skin on the face, may be accompanied by redness, rash, or irritation"
facial lacerations,"Open wounds on the face caused by a tear in the skin, bleeding, pain, may require stitches for closure","facial lacerations: Open wounds on the face caused by a tear in the skin, bleeding, pain, may require stitches for closure"
facial lesions,"Abnormal growths, sores, or areas of damaged skin on the face, may be benign or malignant","facial lesions: Abnormal growths, sores, or areas of damaged skin on the face, may be benign or malignant"
facial nerve compression,"Facial weakness or paralysis, pain, twitching, numbness, tingling, or burning sensation in the face","facial nerve compression: Facial weakness or paralysis, pain, twitching, numbness, tingling, or burning sensation in the face"
facial nerve damage,"Weakness, paralysis, twitching, or loss of sensation in the face, difficulty controlling facial muscles","facial nerve damage: Weakness, paralysis, twitching, or loss of sensation in the face, difficulty controlling facial muscles"
facial nerve decompression,"Surgical procedure to relieve pressure or irritation on the facial nerve, may improve facial function","facial nerve decompression: Surgical procedure to relieve pressure or irritation on the facial nerve, may improve facial function"
facial nerve degeneration,"Gradual deterioration of the facial nerve function, may lead to weakness, paralysis, or facial asymmetry","facial nerve degeneration: Gradual deterioration of the facial nerve function, may lead to weakness, paralysis, or facial asymmetry"
facial nerve disorders,"Various conditions affecting the facial nerve, resulting in facial weakness, paralysis, pain, or other symptoms","facial nerve disorders: Various conditions affecting the facial nerve, resulting in facial weakness, paralysis, pain, or other symptoms"
facial nerve dysfunction,"Impaired function of the facial nerve, resulting in weakness, paralysis, or abnormal facial movements","facial nerve dysfunction: Impaired function of the facial nerve, resulting in weakness, paralysis, or abnormal facial movements"
facial nerve entrapment,"Compression or entrapment of the facial nerve, leading to pain, weakness, or paralysis in the face","facial nerve entrapment: Compression or entrapment of the facial nerve, leading to pain, weakness, or paralysis in the face"
facial nerve grafting,"Surgical procedure to repair damaged facial nerve using a graft, may improve facial function","facial nerve grafting: Surgical procedure to repair damaged facial nerve using a graft, may improve facial function"
facial nerve inflammation,"Swelling, pain, tenderness, or redness along the course of the facial nerve, may affect facial movements","facial nerve inflammation: Swelling, pain, tenderness, or redness along the course of the facial nerve, may affect facial movements"
facial nerve injuries,"Trauma or damage to the facial nerve, resulting in weakness, paralysis, or other symptoms","facial nerve injuries: Trauma or damage to the facial nerve, resulting in weakness, paralysis, or other symptoms"
facial nerve irritation,"Tingling, burning, or shooting pain along the path of the facial nerve, may be aggravated by movement","facial nerve irritation: Tingling, burning, or shooting pain along the path of the facial nerve, may be aggravated by movement"
facial nerve lesions,"Abnormalities or damage to the facial nerve, resulting in facial weakness, paralysis, or other symptoms","facial nerve lesions: Abnormalities or damage to the facial nerve, resulting in facial weakness, paralysis, or other symptoms"
facial nerve manipulation,"Physical therapy or manipulation techniques to improve facial nerve function, may include exercises or massage","facial nerve manipulation: Physical therapy or manipulation techniques to improve facial nerve function, may include exercises or massage"
facial nerve palsy,"Weakness or paralysis of the facial muscles on one side of the face, difficulty closing the eye or smiling","facial nerve palsy: Weakness or paralysis of the facial muscles on one side of the face, difficulty closing the eye or smiling"
facial nerve paralysis,"Inability to move the facial muscles on one side of the face, may affect expression, speech, or eating","facial nerve paralysis: Inability to move the facial muscles on one side of the face, may affect expression, speech, or eating"
facial nerve trauma,"Injury or damage to the facial nerve, resulting in weakness, paralysis, or other symptoms","facial nerve trauma: Injury or damage to the facial nerve, resulting in weakness, paralysis, or other symptoms"
facial nerve tumors,"Growth or mass along the facial nerve, may cause compression, pain, weakness, or paralysis","facial nerve tumors: Growth or mass along the facial nerve, may cause compression, pain, weakness, or paralysis"
facial numbness,"Loss of sensation or feeling in the face, may be localized or affect the entire face","facial numbness: Loss of sensation or feeling in the face, may be localized or affect the entire face"
facial pain,"Aching, burning, stabbing, or throbbing pain in the face, may be constant or intermittent","facial pain: Aching, burning, stabbing, or throbbing pain in the face, may be constant or intermittent"
facial paralysis,"Loss of voluntary muscle movement in the face, drooping of facial features, difficulty speaking or eating","facial paralysis: Loss of voluntary muscle movement in the face, drooping of facial features, difficulty speaking or eating"
